3
3
619 290 39 44	19.5 44
675 286 40 46	20 46
21 285 41 49	20.5 49
12
423 229 48 48	24 48
483 231 40 46	20 46
540 234 39 44	19.5 44
600 225 31 48	15.5 48
654 224 28 52	14 52
705 223 34 51	17 51
760 228 44 48	22 48
820 228 37 46	18.5 46
877 230 35 44	17.5 44
937 229 32 47	16 47
993 227 30 51	15 51
1042 222 35 50	17.5 50
12
21 285 41 49	20.5 49
79 286 44 45	22 45
129 286 36 48	18 48
177 287 44 46	22 46
237 289 48 44	24 44
301 298 58 34	29 34
369 297 45 35	22.5 35
439 298 48 35	24 35
505 293 41 37	20.5 37
563 290 37 44	18.5 44
619 290 39 44	19.5 44
675 286 40 46	20 46
